college_id,college_name,division,gender_program,academic_year,soccer_program_url,player_name,position,year,hometown,prev_club,jersey_number
23,Florida State University,D1,womens,2024-25,https://seminoles.com/sports/womens-soccer/roster,,,,,,
23,Florida State University,D1,womens,2023-24,https://seminoles.com/sports/womens-soccer/roster,,,,,,
23,Florida State University,D1,womens,2022-23,https://seminoles.com/sports/womens-soccer/roster,,,,,,
7,Louisiana State University,D1,womens,2024-25,,,,,,,
7,Louisiana State University,D1,womens,2023-24,,,,,,,
7,Louisiana State University,D1,womens,2022-23,,,,,,,
70,Ohio State University,D1,mens,2024-25,https://ohiostatebuckeyes.com/sports/mens-soccer/roster,,,,,,
71,Ohio State University,D1,womens,2022-23,https://ohiostatebuckeyes.com/sports/womens-soccer/roster,,,,,,
57,University of Iowa,D1,womens,2024-25,https://hawkeyesports.com/sports/wsoc/roster,,,,,,
57,University of Iowa,D1,womens,2023-24,https://hawkeyesports.com/sports/wsoc/roster,,,,,,
57,University of Iowa,D1,womens,2022-23,https://hawkeyesports.com/sports/wsoc/roster,,,,,,
131,University of New Mexico,D1,womens,2024-25,https://golobos.com/sports/wsoc/roster,,,,,,
131,University of New Mexico,D1,womens,2023-24,https://golobos.com/sports/wsoc/roster,,,,,,
131,University of New Mexico,D1,womens,2022-23,https://golobos.com/sports/wsoc/roster,,,,,,
42,University of Virginia,D1,mens,2024-25,https://virginiasports.com/sports/msoc/roster,,,,,,
42,University of Virginia,D1,mens,2023-24,https://virginiasports.com/sports/msoc/roster,,,,,,
42,University of Virginia,D1,mens,2022-23,https://virginiasports.com/sports/msoc/roster,,,,,,
43,University of Virginia,D1,womens,2024-25,https://virginiasports.com/sports/wsoc/roster,,,,,,
43,University of Virginia,D1,womens,2023-24,https://virginiasports.com/sports/wsoc/roster,,,,,,
43,University of Virginia,D1,womens,2022-23,https://virginiasports.com/sports/wsoc/roster,,,,,,
16,Vanderbilt University,D1,womens,2024-25,https://vucommodores.com/sports/wsoc/roster,,,,,,
16,Vanderbilt University,D1,womens,2023-24,https://vucommodores.com/sports/wsoc/roster,,,,,,
2933,Bushnell,NAIA,mens,2022-23,https://bushnellbeacons.com/sports/mens-soccer/roster,,,,,,
