club_name,canonical_name,league_name,city,state,source_url,source_type,website
Alexandria SA,Alexandria Sa,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Arlington Soccer Association,Arlington Association,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Beach FC,Beach,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Braddock Road Youth Club,Braddock Road,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Charlottesville Alliance Sports Club,Charlottesville Alliance Sports,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Cipriani Accademia FC,Cipriani Accademia,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Colonial Heights SA,Colonial Heights Sa,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
DC Soccer Club,Dc,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
DORADUS FC,Doradus,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
FC Richmond,Richmond,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Great Falls Reston Soccer Club,Great Falls Reston,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Grove United,Grove,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Gunston SC,Gunston,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Herndon Youth Soccer,Herndon,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Loudoun Soccer Club,Loudoun,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Manassas United,Manassas,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
McLean YS,Mclean Ys,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Northern Virginia United Academy,Northern Virginia Academy,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Prince William Soccer Inc,Prince William Inc,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Smithfield Soccer Club,Smithfield,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Soccer Organization Charlottesville Area,Organization Charlottesville Area,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Springfield SYC Soccer,Springfield Syc,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Stafford Soccer,Stafford,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
The St. James Football Club,The St. James Football,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Tidewater Sharks,Tidewater Sharks,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
VA Rush Soccer Club,Va Rush,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Vienna Youth Soccer,Vienna,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Villarreal Virginia Academy,Villarreal Virginia Academy,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Virginia Reign,Virginia Reign,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Virginia Soccer Association,Virginia Association,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Virginia United FC,Virginia,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Virginia Valor FC,Virginia Valor,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
Virginia Velocity FC,Virginia Velocity,Virginia Youth Soccer Association,,Virginia,https://system.gotsport.com/org_event/events/50831/clubs,,
